product_link,product_name,product_price
https://www.glassesshop.com/eyeglasses/fp1903,"
                                    Jinbee
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1831,"
                                    Tacab
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1279,"
                                    Ezekiel
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1828,"
                                    Averies
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1372,"
                                    Newark
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1298,"
                                    Hume
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1353,"
                                    Haywood
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1352,"
                                    Haywood
                                ",$29.95
https://www.glassesshop.com/eyeglasses/ft0242,"
                                    Robben
                                ",$39.95
https://www.glassesshop.com/eyeglasses/fz1278,"
                                    Ezekiel
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1270,"
                                    Genevieve
                                ",$34.95
https://www.glassesshop.com/eyeglasses/fp1763,"
                                    Arlene
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1209,"
                                    Pete
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1208,"
                                    Pete
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1718,"
                                    Jean
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1717,"
                                    Jean
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1695,"
                                    Lexingto
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1694,"
                                    Lexingto
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1643,"
                                    Isaiah
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1568,"
                                    Cooksville
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1090,"
                                    Mandy
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1089,"
                                    Mandy
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1087,"
                                    Mandy
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1083,"
                                    Nicole
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1358,"
                                    Milne
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp0989,"
                                    Hillsborough
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1506,"
                                    Bruno
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1573,"
                                    Poppy
                                ",$29.95
