product_link,img_link1,img_link2,product_name,product_price
https://www.glassesshop.com/eyeglasses/fp2046,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202010/5f929d58b769e.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202012/5fe03e895d612.jpg","
                                    Libra
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp2107,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202010/5f8e4a9535301.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202011/5fa222e196441.jpg","
                                    Gulfport
                                ",$19.95
https://www.glassesshop.com/eyeglasses/ft0405,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202010/5f8d5e67d5a0a.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202012/5fe03ed8ee682.jpg","
                                    Oneida
                                ",$44.95
https://www.glassesshop.com/eyeglasses/fm1468,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202011/5fa2222c7010a.jpg",,"
                                    Amelia
                                ",$34.95
https://www.glassesshop.com/eyeglasses/fp1841,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/201911/5ddb8c44a2c03.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/201911/5ddb8c4639e42.jpg","
                                    Butler
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1775,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/201910/5da822bd39bb5.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/201910/5da822c167cfc.jpg","
                                    Haggai
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1088,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202009/5f6c27a3b41b0.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202009/5f6c279f37e88.jpg","
                                    Mandy
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1438,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/201910/5da6d2449f92f.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202008/5f476b8152b9d.jpg","
                                    Prince
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202008/5f476b84134de.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202005/5eb51bf303f96.jpg","
                                    Derrick
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1719,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202010/5f7d22778a21c.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,c_pad/products/202010/5f7e6dd64c1c0.jpg","
                                    Jean
                                ",$24.95
