title,year,duration,genre,rating,movie_url
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/
Seven Samurai ,1954,3h 27min,Action,8.6,https://www.imdb.com/title/tt0047478/
The Prestige ,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/
Joker ,2019,2h 2min,Crime,8.5,https://www.imdb.com/title/tt7286456/
The Departed ,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/
Hara-Kiri ,1962,2h 13min,Action,8.6,https://www.imdb.com/title/tt0056058/
Life Is Beautiful ,1997,1h 56min,Comedy,8.6,https://www.imdb.com/title/tt0118799/
Se7en ,1995,2h 7min,Crime,8.6,https://www.imdb.com/title/tt0114369/
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,https://www.imdb.com/title/tt0102926/
The Green Mile ,1999,3h 9min,Crime,8.6,https://www.imdb.com/title/tt0120689/
City of God ,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/
Como Estrelas na Terra ,2007,2h 45min,Drama,8.4,https://www.imdb.com/title/tt0986264/
The Lives of Others ,2006,2h 17min,Drama,8.4,https://www.imdb.com/title/tt0405094/
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/
3 Idiots ,2009,2h 50min,Comedy,8.4,https://www.imdb.com/title/tt1187043/
The Intouchables ,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/
Django Unchained ,2012,2h 45min,Drama,8.4,https://www.imdb.com/title/tt1853728/
Whiplash ,2014,1h 46min,Drama,8.5,https://www.imdb.com/title/tt2582802/
Your Name. ,2016,1h 46min,Animation,8.4,https://www.imdb.com/title/tt5311514/
Dangal ,2016,2h 41min,Action,8.4,https://www.imdb.com/title/tt5074352/
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/
Vikram Vedha ,2017,2h 27min,Action,8.4,https://www.imdb.com/title/tt6148156/
City Lights ,1931,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0021749/
Oldboy ,2003,2h,Action,8.4,https://www.imdb.com/title/tt0364569/
Capernaum ,2018,2h 6min,Drama,8.4,https://www.imdb.com/title/tt8267604/
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/
Casablanca ,1942,1h 42min,Drama,8.5,https://www.imdb.com/title/tt0034583/
Modern Times ,1936,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0027977/
There Will Be Blood ,2007,2h 38min,Drama,8.2,https://www.imdb.com/title/tt0469494/
Warrior ,2011,2h 20min,Action,8.2,https://www.imdb.com/title/tt1291584/
The Wolf of Wall Street ,2013,3h,Biography,8.2,https://www.imdb.com/title/tt0993846/
Pan's Labyrinth ,2006,1h 58min,Drama,8.2,https://www.imdb.com/title/tt0457430/
The Secret in Their Eyes ,2009,2h 9min,Drama,8.2,https://www.imdb.com/title/tt1305806/
Gangs of Wasseypur ,2012,5h 21min,Action,8.2,https://www.imdb.com/title/tt1954470/
Tangerines ,2013,1h 27min,Drama,8.2,https://www.imdb.com/title/tt2991224/
