name,current_price,24hrs
OriginTrail,$0.1795,"-1,29%"
Aidos Kuneen,$2.35,"-0,59%"
Electroneum,$0.005736,"0,53%"
Melon,$39.08,"1,31%"
Hive,$0.1370,"2,18%"
Energi,$1.55,"9,06%"
Polymath,$0.1018,"1,19%"
TrustSwap,$0.7829,"0,32%"
Stratis,$0.5530,"-0,82%"
Loom Network,$0.05663,"2,33%"
Syscoin,$0.09045,"-1,58%"
WaykiChain,$0.2852,"0,63%"
Ark,$0.4203,"0,41%"
IRISnet,$0.05589,"4,88%"
Divi,$0.02497,"0,33%"
Tellor,$31.37,"3,10%"
Uquid Coin,$5.17,"2,12%"
Handshake ,$0.1463,"-0,11%"
Power Ledger,$0.1167,"0,81%"
DIA,$1.72,"1,34%"
Populous,$0.9067,"2,02%"
Telcoin,$0.0009254,"18,83%"
AdEx Network,$0.4049,"1,69%"
VeThor Token,$0.001415,"15,21%"
MCO,$2.83,"-0,37%"
Aion,$0.09107,"0,53%"
bZx Protocol,$0.3026,"-0,03%"
Elastos,$2.55,"0,34%"
Nimiq,$0.005860,"1,11%"
SUN,$9.02,"1,59%"
QuarkChain,$0.006504,"1,81%"
